;0
0;Anaconda Choke
1;Ankle Injury
2;Ankle Lock
3;Arm Injury
4;Arm Triangle
5;Armbar
6;Corner Stoppage
7;D'Arce Choke
8;Elbow
9;Elbow Injury
10;Elbows
11;Eye Injury
12;Fatigue
13;Flying Knee
14;Foot Injury to Villase...
15;Forearm Choke
16;Gi Choke
17;Gogo Plata
18;Groin Injury to Hallma...
19;Guillotine Choke
20;Hammerlock
21;Headbutt
22;Headbutts
23;Heel Hook
24;Injury
25;Kerr Knocked Self Out
26;Keylock
27;Kick
28;Kicks
29;Kimura
30;Knee
31;Knee Injury
32;Kneebar
33;Knees
34;Leg Injury
35;Neck Crank
36;North-South Choke
37;Omo Plata
38;Other
39;Other - Choke
40;Other - Lock
41;Peruvian Necktie
42;Punch
43;Punches
44;Rear Naked Choke
45;Rib Injury
46;Shoulder Injury
47;Slam
48;Spinning Back Fist
49;Spinning Back Kick
50;Stomps
51;Stoppage Between Round...
52;Strikes
53;Toe Hold
54;Toe Injury to Lajcik
55;Triangle Choke
